Élément statistique;1er niveau de détail;Temps;Unité de mesure;Valeur numérique;Note
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);août-17;M$ enchaînés de 2012;68742.3;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);sept-17;M$ enchaînés de 2012;69418.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);oct-17;M$ enchaînés de 2012;68774.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);nov-17;M$ enchaînés de 2012;69411.3;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);déc-17;M$ enchaînés de 2012;68028.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);janv-18;M$ enchaînés de 2012;69243.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);févr-18;M$ enchaînés de 2012;68901.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);mars-18;M$ enchaînés de 2012;70975.3;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);avr-18;M$ enchaînés de 2012;71725.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);mai-18;M$ enchaînés de 2012;71157.3;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);juin-18;M$ enchaînés de 2012;70595;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);juil-18;M$ enchaînés de 2012;71043.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);août-18;M$ enchaînés de 2012;70964.3;
